Radiology Sentence,Simplification in Stage2,Version,Stage1: You understand the meaning of the sentence.,Stage1: Can you guess the level of severity of the medical condition described in the sentence?,Stage1: Can you guess the medical urgency of the condition described in the sentence?,Stage1: Make your best guess about the severity of the described medical condition.,Stage2: You understand the meaning of the sentence.,Stage2: Can you guess the level of severity of the medical condition described in the sentence?,Stage2: Can you guess the medical urgency of the condition described in the sentence?,Stage2: Has the simplified sentence improved your understanding of the original sentence?,Stage2: Make your best guess about the severity of the described medical condition.,Stage3: Which simplifications do you like the most?,Stage3: Please provide your justification.,Stage3: Which simplifications do you like the least?,Stage3: Please provide your justification.
The psoas muscles are symmetric bilaterally.,The psoas muscles on both sides of your body are the same.,CoT_BS,Not at all,With low confidence,Not at all,Moderate,Most of it,With low confidence,With low confidence,I understand slightly better,Mild,CoT_SC,i understand what psoas muscles are here,CoT_BS;Dummy_SC,these two are basically worded the same
There are bilateral dependent hypoventilatory changes with subpleural atelectasis within the right middle and lower lobes.,"The right middle and lower lobes of your lungs show subpleural atelectasis, which means there are changes in how air moves. This condition affects both sides of your lungs.",Dummy_SC,Not at all,Not at all,Not at all,Serious,Most of it,With low confidence,With low confidence,I understand slightly better,Serious,CoT_BS;CoT_SC,here i understand what supleural atelectasis is,Dummy_BS,i still dont know half of these words
Multiple chronic appearing rib deformities bilaterally.,The ribs on both sides show multiple long-lasting abnormal changes in their shape.,CoT_SC,Some parts of it,With low confidence,Not at all,Moderate,Completely,With low confidence,Not at all,I understand slightly better,Mild,CoT_BS;Dummy_SC,most simple worded versions,Dummy_BS,
"Subcentimeter hypoattenuating lesions within the bilateral kidneys, which are too small to characterize.",The kidneys have very small abnormal areas that are too tiny to identify. They're present on both sides of the kidneys. Further evaluation is needed to understand what these areas might indicate.,CoT_SC,Some parts of it,With low confidence,Not at all,Mild,Completely,With low confidence,With low confidence,I understand much better,Moderate,CoT_SC,,Dummy_BS,
There is thickening of the appendix measuring 1.1 cm with appendicolith and surrounding inflammatory stranding.,The appendix has become thicker at a size of 1.1 cm and there is a hard mass called an appendicolith present. This has caused inflammation in the surrounding area.,Dummy_SC,Some parts of it,With low confidence,Not at all,Mild,Completely,With low confidence,With low confidence,I understand much better,Moderate,CoT_SC,,Dummy_BS,
Atrophic kidneys are noted bilaterally with multiple simple cysts.,Both kidneys have become smaller and show signs of damage. They also have multiple fluid-filled sacs called cysts.,CoT_SC,Not at all,Not at all,Not at all,Mild,Most of it,With low confidence,Not at all,I understand slightly better,Moderate,CoT_SC,,Dummy_BS,
"Nodular hepatic surface contour reflecting, changes of cirrhosis.",The liver's outer surface shows small bumps and changes caused by a condition called cirrhosis.,CoT_BS,Not at all,Not at all,Not at all,Serious,Completely,With low confidence,Not at all,I understand much better,Serious,Dummy_SC,,CoT_BS,
Partially visualized central pulmonary arteries are not dilated.,"The central pulmonary arteries are not enlarged, but the imaging only shows them partially.",Dummy_SC,Some parts of it,With low confidence,Not at all,Mild,Most of it,With low confidence,With low confidence,I understand slightly better,Mild,CoT_SC,,Dummy_SC,
There is mild pancreatic parenchymal atrophy without main duct dilation.,"The pancreas has mild atrophy, but the main duct is not dilated.",Dummy_BS,Not at all,With low confidence,Not at all,Mild,Most of it,With low confidence,Not at all,I understand slightly better,Mild,CoT_BS;CoT_SC,,Dummy_BS,
There is no intrahepatic or extra-hepatic biliary ductal dilatation.,No biliary ductal dilatation is present within or outside the liver.,Dummy_BS,Not at all,With low confidence,With low confidence,Healthy,Most of it,With low confidence,With low confidence,I understand slightly better,Healthy,CoT_BS;CoT_SC,,Dummy_BS,
Diastases rectus with a small fat-containing umbilical hernia.,"There is a small bulge near the belly button where the abdominal muscles are separated, and it contains some fatty tissue.",CoT_BS,Some parts of it,Not at all,Not at all,Mild,Most of it,With low confidence,Not at all,I understand slightly better,Mild,CoT_SC,,Dummy_BS,
The osseous structures are diffusely demineralized.,The bones have lost minerals and become weaker throughout the body.,CoT_BS,Some parts of it,With low confidence,Not at all,Moderate,Completely,With high confidence,With low confidence,I understand much better,Serious,CoT_SC;Dummy_SC;CoT_BS,,,
Mosaic perfusion at the lung bases with scattered areas of linear atelectasis.,"The lower parts of the lungs show irregular blood flow patterns, and there are scattered areas where parts of the lungs are not fully open.",Dummy_SC,Some parts of it,With low confidence,Not at all,Mild,Most of it,With high confidence,With low confidence,I understand much better,Serious,Dummy_BS;CoT_SC,,CoT_BS,
The pancreas is homogeneous in appearance without focal mass or main duct dilatation.,The pancreas appears uniform without any focal mass or dilation of the main duct.,Dummy_BS,Most of it,With low confidence,With low confidence,Healthy,Completely,With high confidence,With high confidence,I understand much better,Healthy,CoT_BS,,Dummy_SC,
No discrete space-occupying lesions or acute abnormality appreciated in the liver.,The liver does not show any noticeable tumors or immediate abnormalities.,Dummy_BS,Most of it,With high confidence,With low confidence,Healthy,Completely,With high confidence,With high confidence,I understand slightly better,Healthy,Dummy_SC;Dummy_BS,,CoT_BS,
There are metastatic bony lesions throughout the thorax.,The bones in the chest show widespread cancer spread.,Dummy_SC,Some parts of it,With low confidence,Not at all,Moderate,Completely,With high confidence,With high confidence,I understand much better,Critical,CoT_SC,,Dummy_BS,
Myomatous uterus.,"The patient has noncancerous growths in her uterus called fibroids, which are like small, harmless growths in the wall of the womb.",CoT_SC,Not at all,Not at all,Not at all,Moderate,Completely,With high confidence,With high confidence,I understand much better,Mild,CoT_SC,,Dummy_BS,
Status post hysterectomy.,"The person has had a surgery called a hysterectomy, which means their uterus has been removed.",CoT_SC,Most of it,With high confidence,With high confidence,Mild,Completely,With high confidence,With high confidence,I understand much better,Mild,Dummy_SC;Dummy_BS;CoT_BS;CoT_SC,,,
There is grade 1 anterolisthesis of L4 on L5.,The diagnosis indicates a mild condition where the fourth bone in the lower part of the spine is slipping slightly forward over the fifth bone. This finding suggests a relatively low level of severity.,CoT_SC,Not at all,With low confidence,With low confidence,Moderate,Completely,With high confidence,With low confidence,I understand slightly better,Mild,CoT_SC;Dummy_SC,,Dummy_BS,
There is an angiomyolipoma measuring 2 cm along the left renal upper pole.,"The radiologist found a growth called an angiomyolipoma in the upper part of the left kidney. It is not cancerous and measures 2 centimeters. This finding suggests a benign condition, but further evaluation may be needed to ensure everything is okay.",CoT_SC,Some parts of it,With low confidence,Not at all,Mild,Most of it,With high confidence,With high confidence,I understand much better,Healthy,CoT_BS;CoT_SC,,Dummy_BS;Dummy_SC,
There are air-fluid levels in dilated loops of small bowel.,There are pockets of air and fluid in enlarged sections of the small intestine.,CoT_BS,Some parts of it,With low confidence,With low confidence,Mild,Most of it,With low confidence,With low confidence,I understand slightly better,Mild,CoT_SC,,Dummy_BS,
There are enlarged celiac and retroperitoneal lymph nodes.,The lymph nodes in the celiac and retroperitoneal areas are enlarged.,Dummy_BS,Most of it,With low confidence,With low confidence,Mild,Most of it,With low confidence,With low confidence,It did not help,Mild,CoT_SC,,Dummy_BS,
Diffuse decreased attenuation which can be seen with fatty infiltration.,Fatty infiltration makes it harder to see clearly on imaging due to decreased visibility.,Dummy_SC,Not at all,With low confidence,Not at all,Mild,Most of it,With low confidence,With low confidence,I understand slightly better,Moderate,CoT_SC,,Dummy_BS,
There is a moderate sized left fat-containing inguinal hernia.,You have a hernia on the left side that contains a moderate amount of fat.,Dummy_SC,Most of it,With low confidence,With low confidence,Moderate,Completely,With low confidence,With low confidence,I understand slightly better,Moderate,Dummy_BS,,Dummy_SC,
Small calcified granulomata in the left hepatic lobe.,Small areas of hardened tissue in the left part of the liver. These areas may be the result of past infections or inflammation.,Dummy_SC,Not at all,With low confidence,With low confidence,Mild,Completely,With low confidence,With low confidence,I understand slightly better,Mild,CoT_SC;Dummy_SC,,Dummy_BS,
Diffuse hepatic steatosis.,Fatty liver.,Dummy_BS,Not at all,Not at all,Not at all,Moderate,Completely,With low confidence,With low confidence,I understand slightly better,Mild,CoT_SC;CoT_BS,,Dummy_BS,
