Radiology Sentence,Simplification in Stage2,Version,Stage1: You understand the meaning of the sentence.,Stage1: Can you guess the level of severity of the medical condition described in the sentence?,Stage1: Can you guess the medical urgency of the condition described in the sentence?,Stage1: Make your best guess about the severity of the described medical condition.,Stage2: You understand the meaning of the sentence.,Stage2: Can you guess the level of severity of the medical condition described in the sentence?,Stage2: Can you guess the medical urgency of the condition described in the sentence?,Stage2: Has the simplified sentence improved your understanding of the original sentence?,Stage2: Make your best guess about the severity of the described medical condition.,Stage3: Which simplifications do you like the most?,Stage3: Please provide your justification.,Stage3: Which simplifications do you like the least?,Stage3: Please provide your justification.
"Scattered densely sclerotic bone islands are seen in the pelvic, likely benign.","Densely sclerotic bone islands are scattered in the pelvic area, likely benign.",Dummy_BS,Some parts of it,With high confidence,With high confidence,Mild,Some parts of it,With high confidence,With high confidence,It did not help,Mild,CoT_BS;CoT_SC,I like that it tells the reader that the condition is likely harmless. It descibes bone islands in simple language.,Dummy_SC;Dummy_BS,"It uses medical terminology that I am not familiar with. (specifically ""bone islands"") I do not know the severity or urgency of bone islands."
Diffuse hepatic steatosis with some fatty sparing adjacent to the gallbladder fossa.,"The liver has fat buildup throughout it, but there are some areas near the gallbladder where less fat is present.",CoT_BS,Not at all,Not at all,Not at all,Moderate,Most of it,With low confidence,With low confidence,I understand slightly better,Healthy,Dummy_SC;CoT_BS,They use simple language that is easy to understand quickly.,CoT_SC;Dummy_BS,The language used in (A) and (C) are slightly more complex than the others.
"Multiple nonobstructing left renal calculi, largest representative measuring 5 mm.","There are several small kidney stones in the left kidney, with the biggest one measuring 5 mm.",Dummy_BS,Not at all,Not at all,Not at all,Moderate,Most of it,With low confidence,With low confidence,I understand slightly better,Mild,Dummy_SC;CoT_BS;CoT_SC,I like that these simplifications mention that the condition is nonobstructing/not blocking anything. It tells me the severity of the condition.,Dummy_BS,It does not tell me the severity of the condition. The other simplifications do.
Sigmoid colonic diverticula seen without evidence of diverticulitis.,Sigmoid colonic diverticula observed without diverticulitis.,Dummy_BS,Not at all,Not at all,Not at all,Moderate,Not at all,Not at all,,It did not help,Moderate,CoT_BS;CoT_SC,I like that they describe the condition in simple language. I like that (D) explained the medical term and gave the severity and urgency of the condition.,Dummy_BS;Dummy_SC,It uses medical terminology that I am not familiar with. They do not explain the terminology anywhere in the simplification.
The psoas muscles are symmetric bilaterally.,The psoas muscles on both sides of your body are the same.,CoT_BS,Not at all,Not at all,Not at all,Moderate,Some parts of it,With low confidence,With low confidence,I understand slightly better,Healthy,,,CoT_BS;CoT_SC;Dummy_BS;Dummy_SC,"I did not really like any of the simplifications. They all say about the same thing, but do not give the severity or urgency of the condition."
There are bilateral dependent hypoventilatory changes with subpleural atelectasis within the right middle and lower lobes.,The lower and middle parts of the right lung have some changes that are causing reduced breathing and partial collapse in areas close to the lung surface.,CoT_BS,Not at all,Not at all,Not at all,Serious,Most of it,With low confidence,With low confidence,I understand slightly better,Mild,Dummy_SC;CoT_BS;CoT_SC,They explain the condition in simple language. I like that they give a side-effect of the condition. (reduced breathing),Dummy_BS,It uses medical terminology that I am not familiar with.
Multiple chronic appearing rib deformities bilaterally.,The ribs on both sides have multiple long-term abnormalities.,Dummy_SC,Some parts of it,With low confidence,With low confidence,Serious,Most of it,With low confidence,With low confidence,I understand slightly better,Serious,CoT_SC;CoT_BS,"I like how they describe the condition in simple language. I like that (C) uses ""long-lasting"" to indicate how long the condition will persist.",Dummy_BS,The language is too complex to easily understand.
"Subcentimeter hypoattenuating lesions within the bilateral kidneys, which are too small to characterize.",The kidneys have very small abnormal areas that are too tiny to identify.,CoT_BS,Some parts of it,With low confidence,With low confidence,Moderate,Most of it,With low confidence,With low confidence,I understand slightly better,Moderate,CoT_SC;CoT_BS,The condition is described in simple language that is easy to understand.,Dummy_SC;Dummy_BS,It uses medical terminology that I am not familiar with. They do not explain the meaning of the terminology.
There is thickening of the appendix measuring 1.1 cm with appendicolith and surrounding inflammatory stranding.,"The appendix has gotten thicker, measuring 1.1 cm, and there is a hard mass inside it called an appendicolith. Additionally, the tissues around the appendix are swollen due to inflammation.",CoT_BS,Not at all,Not at all,Not at all,Serious,Most of it,With low confidence,With low confidence,I understand slightly better,Serious,CoT_BS;CoT_SC;Dummy_SC,I like that they explain the medical terms used. It made me feel more confident in my understanding.,Dummy_BS,It uses medical terminology that I am not familiar with. Specifically appendicolith.
Atrophic kidneys are noted bilaterally with multiple simple cysts.,Both kidneys are atrophic and have multiple simple cysts.,Dummy_BS,Some parts of it,With low confidence,With low confidence,Mild,Some parts of it,With low confidence,With low confidence,It did not help,Mild,CoT_BS,I like that it gives the severity of the condition by mentioning that the kidneys are not functioning well. And the simplification uses simple language.,Dummy_SC;Dummy_BS;CoT_SC,(B) uses medical terminology that I am not familiar with. (A) and (D) do not give the severity of the condition.
"Nodular hepatic surface contour reflecting, changes of cirrhosis.",The liver's outer surface shows small bumps and changes caused by a condition called cirrhosis.,CoT_BS,Not at all,Not at all,Not at all,Moderate,Some parts of it,Not at all,Not at all,I understand slightly better,Moderate,CoT_SC;Dummy_SC,,CoT_BS;Dummy_BS,It uses medical terminology that I am not familiar with. Specifically cirrhosis. It does not explain the meaning of the medical term.
Partially visualized central pulmonary arteries are not dilated.,"The central pulmonary arteries are not dilated, but they are only partially visualized.",Dummy_BS,Not at all,Not at all,Not at all,Moderate,Some parts of it,Not at all,Not at all,I understand slightly better,Mild,CoT_SC,I like that it states that the condition is normal. This gives the severity of the condition. It also uses simple language.,Dummy_SC;Dummy_BS,It uses medical terminology that I am not familiar with. 
There is mild pancreatic parenchymal atrophy without main duct dilation.,"The pancreas has a mild decrease in tissue size, but there are no major blockages or enlargements in the main duct.",CoT_SC,Not at all,Not at all,Not at all,Mild,Most of it,With low confidence,With low confidence,I understand slightly better,Healthy,Dummy_BS;Dummy_SC,"I like that these simplifications mention ""no blockages"". This tells me the severity of the condition.",CoT_BS;CoT_SC,It uses medical terminology that I am not familiar with. I also do not know the severity of the condition.
There is no intrahepatic or extra-hepatic biliary ductal dilatation.,"The tubes both inside and outside the liver that carry bile (a digestive fluid) are not enlarged or widened, which is usually a good sign and means there is likely no blockage.",CoT_SC,Not at all,Not at all,Not at all,Serious,Completely,With high confidence,With high confidence,I understand much better,Healthy,CoT_SC,"I like that it mentions ""usually a good sign"" because it indicates the severity of the condition.",Dummy_BS,"It uses medical terms that I am not familiar with, and does not explain the terms."
Diastases rectus with a small fat-containing umbilical hernia.,"The muscles in the middle of the abdomen are separated, and there is a small bulge around the belly button that contains some fat.",Dummy_SC,Some parts of it,With low confidence,With low confidence,Serious,Some parts of it,With low confidence,With low confidence,It did not help,Mild,CoT_SC,"I like that it mentions that the condition is common, and that there is probably no other problems. This tells the severity of the condition.",Dummy_BS,"It uses medical terms that I am not familiar with, and does not explain any of these terms."
The osseous structures are diffusely demineralized.,The bones appear significantly weakened throughout.,Dummy_SC,Not at all,Not at all,Not at all,Mild,Completely,With high confidence,With high confidence,I understand much better,Serious,Dummy_SC;CoT_BS,"It explains why the loss of minerals is a problem, which explains the severity and urgency of the condition.",CoT_SC;Dummy_BS,It does not give as much detail as the other simplifications. (There is no mention of mineral loss in these simplifications)
Mosaic perfusion at the lung bases with scattered areas of linear atelectasis.,"In the lower parts of the lungs, there is uneven blood flow, and some small airways are partially closing, which can affect the exchange of air.",CoT_SC,Not at all,Not at all,Not at all,Moderate,Most of it,With low confidence,With low confidence,I understand slightly better,Mild,CoT_SC;Dummy_SC,"I like how it explains a side-effect of the condition (affected exchange of air). However, I still don't know how much the air is affected, so it's hard to tell the severity and urgency of the condition.",CoT_BS,"It uses medical terms that I am not familiar with, and does not explain any of these terms."
The pancreas is homogeneous in appearance without focal mass or main duct dilatation.,"The pancreas looks normal with a consistent appearance, without any lumps or widening of the main tube.",Dummy_SC,Not at all,Not at all,Not at all,Mild,Completely,With high confidence,With high confidence,I understand much better,Healthy,CoT_SC;Dummy_SC;CoT_BS,I like that the simplifications mention that the condition is normal and the pancreas is functioning well. This tells the severity and urgency of the condition.,Dummy_BS,"It uses medical terms that I am not familiar with, and does not explain any of these terms. The language is also more complex compared to the other simplifications."
No discrete space-occupying lesions or acute abnormality appreciated in the liver.,"The liver does not have any noticeable abnormal growths, masses, or recent changes that can be seen on the test.",CoT_BS,Some parts of it,With low confidence,With low confidence,Healthy,Completely,With high confidence,With high confidence,I understand much better,Healthy,Dummy_SC;CoT_SC,"I like that it calls the condition ""normal"". This indicates the severity and urgency.",Dummy_BS;CoT_BS,These are not as explanatory as the other simplifications. They do not tell me if the condition needs medical attention or not.
There are metastatic bony lesions throughout the thorax.,The thorax has widespread metastatic bony lesions.,Dummy_BS,Not at all,Not at all,Not at all,Mild,Not at all,Not at all,Not at all,It did not help,Mild,CoT_BS;CoT_SC;Dummy_SC,The mention of cancer in these simplifications indicate the urgency and severity of the condition.,Dummy_BS,"It uses medical terms that I am not familiar with, and does not explain any of these terms. I'm just as confused as with the original sentence."
Myomatous uterus.,The patient has noncancerous growths called fibroids in her uterus.,CoT_BS,Not at all,Not at all,Not at all,Mild,Most of it,With low confidence,With low confidence,I understand slightly better,Mild,CoT_SC,I like that it mentions that the condition is harmless. This indicates the severity and urgency of the condition.,Dummy_SC;Dummy_BS,"It uses medical terms that I am not familiar with, and does not explain any of these terms."
Status post hysterectomy.,Surgery to remove the uterus has been done.,Dummy_SC,Not at all,Not at all,Not at all,Moderate,Completely,With high confidence,With high confidence,I understand slightly better,Healthy,CoT_BS,This is the most detailed simplication. (specifically the mention that the patient is in the recovery phase) It uses simple language and I feel that I understand it the most.,Dummy_BS,"It uses medical terms that I am not familiar with, and does not explain any of these terms."
There is grade 1 anterolisthesis of L4 on L5.,The condition is that the fourth bone in the lower part of the spine is slipping slightly forward in relation to the fifth bone.,CoT_BS,Not at all,Not at all,Not at all,Moderate,Some parts of it,With low confidence,With low confidence,I understand slightly better,Mild,CoT_SC,The language is simple and easy to understand. I like that it tells the severity of the condition.,Dummy_BS;Dummy_SC,"It uses medical terms that I am not familiar with, and does not explain any of these terms. It also uses more complex language than the other simplifications."
There is an angiomyolipoma measuring 2 cm along the left renal upper pole.,The upper part of the left kidney has a 2 cm growth called an angiomyolipoma.,Dummy_SC,Not at all,Not at all,Not at all,Moderate,Some parts of it,Not at all,Not at all,It did not help,Moderate,CoT_SC,I like that this simplification mentions that the condition is benign but needs further evaluation. This tells the severity of the condition.,Dummy_BS;Dummy_SC,"It uses medical terms that I am not familiar with, and does not explain any of these terms."
There are air-fluid levels in dilated loops of small bowel.,There are pockets of air and fluid in enlarged sections of the small intestine.,CoT_BS,Not at all,Not at all,Not at all,Mild,Some parts of it,Not at all,Not at all,I understand slightly better,Moderate,CoT_SC,It mentions that there could be a blockage or other issues. This somewhat hints at the severity of the condition. Also the language is simple.,Dummy_BS,The language used is more complex than the other simplifications.
There are enlarged celiac and retroperitoneal lymph nodes.,"The lymph nodes near the stomach and behind the abdominal cavity are larger than usual. This could be a sign of different conditions like infection, inflammation, or other possible health issues.",CoT_SC,Not at all,Not at all,Not at all,Serious,Most of it,With low confidence,With low confidence,I understand slightly better,Serious,CoT_SC,"It mentions that the condition is a sign of other health issues, which hints at the severity and urgency of the condition.",Dummy_BS,"It uses medical terms that I am not familiar with, and does not explain any of these terms."
Diffuse decreased attenuation which can be seen with fatty infiltration.,"Radiology imaging shows that there is an increase in fat cells scattered throughout the area being examined, which appears as a weaker signal on X-rays.",CoT_SC,Not at all,Not at all,Not at all,Moderate,Some parts of it,Not at all,Not at all,It did not help,Mild,Dummy_BS;CoT_BS,"These simplifications clearly explain that the X-ray has less visibility due to fat. The others do not do this as well as (A) and (D). However, I still do not know the severity or urgency of the condition.",Dummy_SC;CoT_SC,The language used in these simplifications are more complex and harder to comprehend.
There is a moderate sized left fat-containing inguinal hernia.,There is a medium-sized inguinal hernia on the left that contains fat.,Dummy_BS,Not at all,Not at all,Not at all,Serious,Not at all,Not at all,Not at all,It did not help,Serious,CoT_BS;CoT_SC,"I like that this simplification is more specific about the location of the condition. The language is ok, but it still does not explain the medical term ""hernia"".",Dummy_BS;Dummy_SC,"These are more vague than the other simplification. They also do not explain the medical term ""hernia""."
Small calcified granulomata in the left hepatic lobe.,Small calcified granulomas in the left part of the liver.,Dummy_BS,Not at all,Not at all,Not at all,Serious,Not at all,Not at all,Not at all,It did not help,Serious,CoT_SC;Dummy_SC,I like how these simplifications give a reason for the current condition. And the language is simple.,Dummy_BS;CoT_BS,"These use vague language, and are not as specific as the other simplifications."
Diffuse hepatic steatosis.,Fatty liver.,Dummy_BS,Not at all,Not at all,Not at all,Moderate,Most of it,With low confidence,With low confidence,I understand slightly better,Mild,CoT_SC,"I like that it mentions that the liver ""is not as healthy as it should be"" which hints at the severity of the condition. And the language is simple.",Dummy_SC;Dummy_BS,These simplifications are more vague than the others. They are so simple that they do not tell enough for me.
