Radiology Sentence,Simplification in Stage2,Version,Stage1: You understand the meaning of the sentence.,Stage1: Can you guess the level of severity of the medical condition described in the sentence?,Stage1: Can you guess the medical urgency of the condition described in the sentence?,Stage1: Make your best guess about the severity of the described medical condition.,Stage2: You understand the meaning of the sentence.,Stage2: Can you guess the level of severity of the medical condition described in the sentence?,Stage2: Can you guess the medical urgency of the condition described in the sentence?,Stage2: Has the simplified sentence improved your understanding of the original sentence?,Stage2: Make your best guess about the severity of the described medical condition.,Stage3: Which simplifications do you like the most?,Stage3: Please provide your justification.,Stage3: Which simplifications do you like the least?,Stage3: Please provide your justification.
Mosaic perfusion at the lung bases with scattered areas of linear atelectasis.,The lung bases show mosaic perfusion with scattered linear atelectasis.,Dummy_BS,Some parts of it,Not at all,Not at all,Moderate,Some parts of it,Not at all,Not at all,It did not help,Serious,CoT_SC,Explains the condition and provides details on the overall lung health.,CoT_BS,"Essentially the initial sentence, no real simplification."
The pancreas is homogeneous in appearance without focal mass or main duct dilatation.,"The pancreas looks normal with a consistent appearance, without any lumps or widening of the main tube.",Dummy_SC,Most of it,With low confidence,With low confidence,Healthy,Completely,With high confidence,With high confidence,I understand much better,Healthy,CoT_BS,More colloquial but straightforward.,CoT_SC,Much longer than it needs to be.
No discrete space-occupying lesions or acute abnormality appreciated in the liver.,The liver appears normal without any noticeable tumors or distinct abnormal areas.,Dummy_SC,Most of it,With low confidence,With high confidence,Healthy,Completely,With high confidence,With high confidence,I understand slightly better,Healthy,CoT_SC,Clear and concise.,CoT_BS,"Longer than it needs to be e.g. ""that can be seen on the test"""
There are metastatic bony lesions throughout the thorax.,The thorax has widespread metastatic bony lesions.,Dummy_BS,Most of it,With low confidence,With low confidence,Serious,Most of it,With low confidence,With low confidence,I understand slightly better,Critical,CoT_BS,Simple and straightforward. Lets me know its cancerous.,Dummy_SC,"Too wordy, I don't need to hear about the doctors."
Myomatous uterus.,The uterus has growths called myomas.,Dummy_SC,Some parts of it,Not at all,Not at all,Moderate,Most of it,With low confidence,With low confidence,I understand slightly better,Moderate,CoT_BS,The noncancerous part is very useful.,Dummy_BS,Just a reordering of the initial words. No new info.
Status post hysterectomy.,Hysterectomy has been performed.,Dummy_BS,Most of it,With low confidence,With low confidence,Mild,Completely,With high confidence,With low confidence,I understand slightly better,Mild,CoT_BS,Tells me they are in recovery.,CoT_SC,Too wordy.
There is grade 1 anterolisthesis of L4 on L5.,Grade 1 anterolisthesis of L4 on L5 is present.,Dummy_BS,Not at all,Not at all,Not at all,Serious,Not at all,Not at all,Not at all,It did not help,Serious,Dummy_SC,Explains clearly what the L4 and L5 are in context.,CoT_SC,Too wordy. D is a better version of A.
There is an angiomyolipoma measuring 2 cm along the left renal upper pole.,The upper part of the left kidney has a 2 cm growth called an angiomyolipoma.,Dummy_SC,Not at all,Not at all,Not at all,Mild,Not at all,Not at all,Not at all,It did not help,Mild,CoT_BS,Simple and to the point,CoT_SC,Way too long.
There are air-fluid levels in dilated loops of small bowel.,"There are pockets of air and fluid in larger sections of the small intestine, which could indicate a blockage or other issue with digestion.",CoT_SC,Some parts of it,Not at all,Not at all,Mild,Completely,With high confidence,With high confidence,I understand much better,Mild,CoT_SC,In this particular case I needed the lengthier explanation to understand the matter at hand.,Dummy_SC,Does not tell me much about the effects of the condition.
There are enlarged celiac and retroperitoneal lymph nodes.,The lymph nodes near the stomach and the ones located behind the abdominal cavity have increased in size.,CoT_BS,Some parts of it,With low confidence,With low confidence,Moderate,Most of it,With low confidence,With low confidence,I understand slightly better,Moderate,CoT_SC,Explains the condition clearly and succinctly.,Dummy_BS,No new info here.
Diffuse decreased attenuation which can be seen with fatty infiltration.,Fatty infiltration makes it harder to see clearly on imaging due to decreased visibility.,Dummy_SC,Some parts of it,Not at all,Not at all,Mild,Not at all,Not at all,Not at all,It further confused me,Mild,CoT_BS,Simple and to the point.,Dummy_SC,Too much information.
There is a moderate sized left fat-containing inguinal hernia.,You have a hernia on the left side that contains a moderate amount of fat.,Dummy_SC,Some parts of it,Not at all,Not at all,Moderate,Most of it,With low confidence,With low confidence,I understand much better,Moderate,CoT_BS;CoT_SC,The position and details of the hernia are provided.,Dummy_BS,Not enough info.
Small calcified granulomata in the left hepatic lobe.,Small calcified granulomas in the left part of the liver.,Dummy_BS,Some parts of it,Not at all,Not at all,Mild,Some parts of it,Not at all,Not at all,It did not help,Mild,Dummy_SC,Very useful information to explain what the granulomata is and what its cause may be.,Dummy_BS,Just a reiteration of the initial statement.
Diffuse hepatic steatosis.,"The liver has too much fat spread throughout it, which might indicate a condition where the liver is not as healthy as it should be.",CoT_SC,Some parts of it,Not at all,Not at all,Mild,Completely,With low confidence,With low confidence,I understand much better,Serious,CoT_SC;Dummy_BS,Simple and to the point. Does not use complicated medical terms.,CoT_BS,Wordy while not providing more information.
