Radiology Sentence,Simplification in Stage2,Version,Stage1: You understand the meaning of the sentence.,Stage1: Can you guess the level of severity of the medical condition described in the sentence?,Stage1: Can you guess the medical urgency of the condition described in the sentence?,Stage1: Make your best guess about the severity of the described medical condition.,Stage2: You understand the meaning of the sentence.,Stage2: Can you guess the level of severity of the medical condition described in the sentence?,Stage2: Can you guess the medical urgency of the condition described in the sentence?,Stage2: Has the simplified sentence improved your understanding of the original sentence?,Stage2: Make your best guess about the severity of the described medical condition.,Stage3: Which simplifications do you like the most?,Stage3: Please provide your justification.,Stage3: Which simplifications do you like the least?,Stage3: Please provide your justification.
"Multiple nonobstructing left renal calculi, largest representative measuring 5 mm.","You have several small kidney stones in your left kidney, but they are not blocking anything. The biggest one is 5 mm in size.",CoT_BS;CoT_SC,Some parts of it,With low confidence,With low confidence,Mild,Completely,With high confidence,With high confidence,I understand much better,Healthy,CoT_BS;CoT_SC,Explains everything clearly and whether or not to worry about the condition,Dummy_BS,Does not mention that the kidney stones are not in the way of normal functioning.
Sigmoid colonic diverticula seen without evidence of diverticulitis.,"Small bulges in the lower part of the large intestine are present, but there are no signs of inflammation or infection.",CoT_BS,Not at all,Not at all,Not at all,Moderate,Completely,With low confidence,With low confidence,I understand much better,Moderate,CoT_SC,Explains the situation and condition very clearly with the level of severity.,Dummy_BS,Does not explain anything about the condition in simpler terms.
The psoas muscles are symmetric bilaterally.,"The psoas muscles, which are located in your lower back on each side of your spine, are the same on both sides of your body.",CoT_SC,Some parts of it,With low confidence,With low confidence,Healthy,Completely,With high confidence,With high confidence,I understand much better,Healthy,CoT_SC,Clearly identifies location of the muscles and what state they are in.,CoT_BS;Dummy_BS;Dummy_SC,Too simple does not describe location of muscles.
There are bilateral dependent hypoventilatory changes with subpleural atelectasis within the right middle and lower lobes.,"There are changes in both sides of the lungs, particularly in the lower and middle parts of the right lung. These changes are causing reduced breathing and partial collapse in areas close to the lung surface.",CoT_SC,Some parts of it,Not at all,Not at all,Moderate,Completely,With high confidence,With high confidence,I understand much better,Serious,Dummy_SC;CoT_SC,,Dummy_BS,
Multiple chronic appearing rib deformities bilaterally.,Multiple bilateral rib deformities suggestive of chronicity.,Dummy_BS,Completely,With high confidence,With high confidence,Mild,Completely,With low confidence,With low confidence,It further confused me,Mild,CoT_SC;CoT_BS;Dummy_SC,,Dummy_BS,
"Subcentimeter hypoattenuating lesions within the bilateral kidneys, which are too small to characterize.",The kidneys have very small abnormal areas that are too tiny to identify. They're present on both sides of the kidneys. Further evaluation is needed to understand what these areas might indicate.,CoT_SC,Some parts of it,With low confidence,With low confidence,Mild,Completely,With low confidence,With low confidence,I understand much better,Mild,CoT_SC,,Dummy_SC,
There is thickening of the appendix measuring 1.1 cm with appendicolith and surrounding inflammatory stranding.,The appendix is thickened at 1.1 cm with an appendicolith and inflammation around it.,Dummy_BS,Most of it,With low confidence,With low confidence,Mild,Some parts of it,With low confidence,With low confidence,It did not help,Mild,CoT_BS;CoT_SC;Dummy_SC,,Dummy_BS,
Atrophic kidneys are noted bilaterally with multiple simple cysts.,Both kidneys are shrunken and contain multiple small sacs.,Dummy_SC,Most of it,With low confidence,With low confidence,Mild,Most of it,With low confidence,With low confidence,I understand slightly better,Moderate,CoT_BS;CoT_SC,,Dummy_SC;Dummy_BS,
"Nodular hepatic surface contour reflecting, changes of cirrhosis.",The liver surface shows nodular contours due to cirrhosis.,Dummy_BS,Some parts of it,Not at all,Not at all,Moderate,Some parts of it,Not at all,Not at all,It did not help,Moderate,CoT_SC;Dummy_SC,,Dummy_BS,
Partially visualized central pulmonary arteries are not dilated.,The part of the blood vessels that can be seen in the lungs is not enlarged.,CoT_BS,Most of it,With low confidence,With low confidence,Mild,Most of it,With low confidence,With low confidence,I understand slightly better,Mild,CoT_SC,,Dummy_BS,
There is mild pancreatic parenchymal atrophy without main duct dilation.,The pancreas has a small amount of tissue shrinkage but no major blockages.,CoT_BS,Some parts of it,Not at all,Not at all,Moderate,Completely,With low confidence,With low confidence,I understand much better,Mild,CoT_BS;CoT_SC,,Dummy_SC,
There is no intrahepatic or extra-hepatic biliary ductal dilatation.,No biliary ductal dilatation is present within or outside the liver.,Dummy_BS,Some parts of it,Not at all,Not at all,Mild,Some parts of it,Not at all,Not at all,It did not help,Mild,CoT_SC,,Dummy_BS,
Diastases rectus with a small fat-containing umbilical hernia.,"The muscles in the middle of the abdomen are separated, and there is a small bulge around the belly button that contains some fat.",Dummy_SC,Some parts of it,Not at all,Not at all,Mild,Completely,With low confidence,With low confidence,I understand much better,Moderate,CoT_SC,,Dummy_BS,
The osseous structures are diffusely demineralized.,The bone structures are extensively weakened.,Dummy_BS,Some parts of it,Not at all,Not at all,Moderate,Completely,With high confidence,With high confidence,I understand much better,Serious,CoT_SC,,Dummy_SC,
Mosaic perfusion at the lung bases with scattered areas of linear atelectasis.,The lung bases show mosaic perfusion with scattered linear atelectasis.,Dummy_BS,Not at all,Not at all,Not at all,Moderate,Not at all,Not at all,Not at all,It did not help,Moderate,CoT_SC;Dummy_SC,,CoT_BS,
The pancreas is homogeneous in appearance without focal mass or main duct dilatation.,"The pancreas looks normal and doesn't have any lumps, bumps, or blockages in its tubes.",CoT_BS,Completely,With high confidence,With high confidence,Healthy,Completely,With high confidence,With high confidence,I understand slightly better,Healthy,CoT_SC;CoT_BS,,Dummy_BS,
No discrete space-occupying lesions or acute abnormality appreciated in the liver.,"The liver appears normal with no visible abnormal growths, masses, or recent changes.",CoT_SC,Some parts of it,With low confidence,With low confidence,Healthy,Completely,With high confidence,With high confidence,I understand much better,Healthy,CoT_SC;CoT_BS,,Dummy_SC,
There are metastatic bony lesions throughout the thorax.,The bones in the chest show widespread cancer spread.,Dummy_SC,Completely,With high confidence,With high confidence,Serious,Completely,With high confidence,With high confidence,I understand slightly better,Serious,CoT_BS;CoT_SC,,Dummy_BS,
Myomatous uterus.,Uterus with myomas.,Dummy_BS,Some parts of it,Not at all,Not at all,Mild,Some parts of it,Not at all,Not at all,It did not help,Mild,CoT_BS;CoT_SC,,Dummy_BS,
Status post hysterectomy.,"After having a hysterectomy, which is a surgery to remove the uterus, the person is in the recovery phase.",CoT_BS,Completely,With high confidence,With high confidence,Mild,Completely,With high confidence,With high confidence,I understand slightly better,Moderate,CoT_BS,,Dummy_BS,
There is grade 1 anterolisthesis of L4 on L5.,The diagnosis indicates a mild condition where the fourth bone in the lower part of the spine is slipping slightly forward over the fifth bone. This finding suggests a relatively low level of severity.,CoT_SC,Most of it,With low confidence,With low confidence,Moderate,Completely,With high confidence,With high confidence,I understand much better,Mild,CoT_SC;Dummy_SC,,CoT_BS,
There is an angiomyolipoma measuring 2 cm along the left renal upper pole.,The left renal upper pole has a 2 cm angiomyolipoma.,Dummy_BS,Some parts of it,Not at all,Not at all,Moderate,Some parts of it,Not at all,Not at all,It did not help,Moderate,CoT_SC,,Dummy_BS,
There are air-fluid levels in dilated loops of small bowel.,"The small intestines appear enlarged, and there are levels of air and fluid present.",Dummy_SC,Some parts of it,With low confidence,With low confidence,Moderate,Completely,With low confidence,With low confidence,I understand much better,Moderate,CoT_SC,,Dummy_BS,
There are enlarged celiac and retroperitoneal lymph nodes.,"The lymph nodes near the stomach and behind the abdominal cavity are larger than usual. This could be a sign of different conditions like infection, inflammation, or other possible health issues.",CoT_SC,Some parts of it,With low confidence,With low confidence,Mild,Completely,With high confidence,With high confidence,I understand much better,Mild,CoT_SC,,Dummy_BS,
Diffuse decreased attenuation which can be seen with fatty infiltration.,The scattered distribution of fat cells can be seen as a decrease in the strength of X-ray signals.,CoT_BS,Not at all,Not at all,Not at all,Mild,Most of it,With low confidence,With low confidence,I understand slightly better,Mild,CoT_BS,,Dummy_BS,
There is a moderate sized left fat-containing inguinal hernia.,"There is a moderate-sized hernia on the left side of the body, near the groin area, which contains some fat.",CoT_BS;CoT_SC,Most of it,With low confidence,With low confidence,Mild,Most of it,With low confidence,With low confidence,I understand slightly better,Mild,CoT_BS;CoT_SC,,Dummy_BS,
Small calcified granulomata in the left hepatic lobe.,There are small masses of hardened immune cells with calcium deposits in the left part of the liver. This can happen as a response to previous infections or inflammation.,CoT_SC,Most of it,With low confidence,With low confidence,Moderate,Completely,With low confidence,With low confidence,I understand much better,Moderate,CoT_SC;Dummy_SC,,Dummy_BS,
Diffuse hepatic steatosis.,Extensive accumulation of fat in the liver.,Dummy_SC,Some parts of it,Not at all,Not at all,Mild,Completely,With low confidence,With low confidence,I understand much better,Moderate,CoT_SC,,Dummy_BS,
